color_id,canonical,surface,normalized,source,catalog_count,mapping_reason,active,version
multicolor,разноцветный,синий/ серый,синий серый,catalog_color_attributes,63,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ бирюзовый,белый бирюзовый,catalog_color_attributes,62,multiple_color_anchors,true,catalog_palette_30_v1
purple,фиолетовый,лиловый,лиловый,manual_palette,62,manual_alias,true,catalog_palette_30_v1
white,белый,белый муар,белый муар,catalog_color_attributes,62,color_anchor,true,catalog_palette_30_v1
gray,серый,gray,gray,manual_palette,61,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,серый/ синий,серый синий,catalog_color_attributes,61,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ голубой,черный голубой,catalog_color_attributes,60,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,белый/коричневый,белый коричневый,catalog_color_attributes,59,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,фиолетовый/ белый,фиолетовый белый,catalog_color_attributes,59,multiple_color_anchors,true,catalog_palette_30_v1
pink,розовый,пудровый,пудровый,manual_palette,59,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ нержавеющая сталь,белый нержавеющая сталь,catalog_color_attributes,58,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,титановый/ синий,титановый синий,catalog_color_attributes,58,multiple_color_anchors,true,catalog_palette_30_v1
green,зеленый,шалфей,шалфей,manual_palette,57,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ золотой,белый золотой,catalog_color_attributes,57,multiple_color_anchors,true,catalog_palette_30_v1
beige,бежевый,латте матовый,латте матовый,catalog_color_attributes,56,color_anchor,true,catalog_palette_30_v1
light_blue,голубой,голубой туман,голубой туман,catalog_color_attributes,56,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,серый/ серебристый,серый серебристый,catalog_color_attributes,56,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,золотистый/ черный,золотистый черный,catalog_color_attributes,55,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,титановый/ серый,титановый серый,catalog_color_attributes,55,multiple_color_anchors,true,catalog_palette_30_v1
white,белый,белый глянец,белый глянец,catalog_color_attributes,55,color_anchor,true,catalog_palette_30_v1
beige,бежевый,бежевый/ рисунок,бежевый рисунок,catalog_color_attributes,54,color_anchor,true,catalog_palette_30_v1
turquoise,бирюзовый,teal,teal,manual_palette,54,manual_alias,true,catalog_palette_30_v1
black,черный,металлик/ черный,металлик черный,catalog_color_attributes,53,color_anchor,true,catalog_palette_30_v1
black,черный,черный/ черное стекло,черный черное стекло,catalog_color_attributes,53,color_anchor,true,catalog_palette_30_v1
gray,серый,антрацитовый,антрацитовый,manual_palette,53,manual_alias,true,catalog_palette_30_v1
gold,золотистый,золото шлифованное,золото шлифованное,catalog_color_attributes,52,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,серо голубой,серо голубой,catalog_color_attributes,52,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,красный/ серый,красный серый,catalog_color_attributes,51,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,серо зеленый,серо зеленый,catalog_color_attributes,51,multiple_color_anchors,true,catalog_palette_30_v1
turquoise,бирюзовый,темно бирюзовый,темно бирюзовый,catalog_color_attributes,51,color_anchor,true,catalog_palette_30_v1
cream,кремовый,жемчужный,жемчужный,manual_palette,50,manual_alias,true,catalog_palette_30_v1
gold,золотистый,брашированное золото,брашированное золото,catalog_color_attributes,50,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,венге / дуб молочный,венге дуб молочный,catalog_color_attributes,49,multiple_color_anchors,true,catalog_palette_30_v1
green,зеленый,sage,sage,manual_palette,48,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,красный/ бежевый,красный бежевый,catalog_color_attributes,48,multiple_color_anchors,true,catalog_palette_30_v1
